name	N	mu	mu_model	err_mu	zcmb	zhel	dz	mb	dmb	x1	dx1	color	dcolor	3rdvar	d3rdvar	cov_m_s	cov_m_c	cov_s_c	set	ra	dec	biascor
2001V	12	33.7807	34.1600	0.1546	0.01567	0.014934	0.0	14.4307	0.15405	0	0	0	0	0	0	0	0	0	0	0	0	
1994S	233	34.1266	34.1614	0.1576	0.01568	0.015174	0.0	14.7589	0.1525	0	0	0	0	0	0	0	0	0	0	0	0	
2009nq	178	34.2159	34.1670	0.1923	0.01572	0.016470	0.0	14.86115	0.1939	0	0	0	0	0	0	0	0	0	0	0	0	
2007A	125	34.5454	34.2453	0.1472	0.01629	0.017120	0.0	15.17685	0.15115	0	0	0	0	0	0	0	0	0	0	0	0	
2000dk	269	34.2375	34.2534	0.1527	0.01635	0.017009	0.0	14.8831	0.1518	0	0	0	0	0	0	0	0	0	0	0	0	
1998ef	254	34.0031	34.2894	0.1519	0.01662	0.017019	0.0	14.6312	0.14705	0	0	0	0	0	0	0	0	0	0	0	0	
2007ap	109	34.3765	34.2907	0.1537	0.01663	0.016341	0.0	15.01385	0.15025	0	0	0	0	0	0	0	0	0	0	0	0	
2010H	180	34.3048	34.3105	0.1631	0.01678	0.015366	0.0	14.92685	0.15925	0	0	0	0	0	0	0	0	0	0	0	0	
2008L	123	34.2886	34.3352	0.1580	0.01697	0.017842	0.0	14.91335	0.1531	0	0	0	0	0	0	0	0	0	0	0	0	
1996bv	240	34.0513	34.3365	0.1494	0.01698	0.016672	0.0	14.6697	0.1558	0	0	0	0	0	0	0	0	0	0	0	0	
2001da	4	34.2226	34.3456	0.1779	0.01705	0.017687	0.0	14.85645	0.1832	0	0	0	0	0	0	0	0	0	0	0	0	
2008C	147	34.2991	34.3699	0.1498	0.01724	0.016623	0.0	14.9294	0.1556	0	0	0	0	0	0	0	0	0	0	0	0	
1997Y	247	34.2672	34.3725	0.1502	0.01726	0.016252	0.0	14.9156	0.1511	0	0	0	0	0	0	0	0	0	0	0	0	
2001G	10	34.2257	34.3801	0.1597	0.01732	0.016510	0.0	14.8718	0.1587	0	0	0	0	0	0	0	0	0	0	0	0	
2007fb	132	34.6378	34.3903	0.1525	0.0174	0.018024	0.0	15.26595	0.1485	0	0	0	0	0	0	0	0	0	0	0	0	
2006ef	204	34.4526	34.3915	0.1504	0.01741	0.017684	0.0	15.1	0.1498	0	0	0	0	0	0	0	0	0	0	0	0	
1993ae	229	34.4282	34.4054	0.1507	0.01752	0.017937	0.0	15.0558	0.1465	0	0	0	0	0	0	0	0	0	0	0	0	
2006ax	67	34.3542	34.4079	0.1390	0.01754	0.016499	0.0	14.9841	0.1341	0	0	0	0	0	0	0	0	0	0	0	0	
2009le	176	34.2898	34.4192	0.1523	0.01763	0.017777	0.0	14.9354	0.1562	0	0	0	0	0	0	0	0	0	0	0	0	
2002kf	29	34.7103	34.5932	0.1421	0.01908	0.019307	0.0	15.3534	0.14115	0	0	0	0	0	0	0	0	0	0	0	0	
1998ec	253	34.8343	34.6636	0.1467	0.0197	0.019879	0.0	15.45455	0.1578	0	0	0	0	0	0	0	0	0	0	0	0	
2010A	179	34.6514	34.6659	0.1500	0.01972	0.020639	0.0	15.27645	0.15785	0	0	0	0	0	0	0	0	0	0	0	0	
2000B	265	34.3845	34.7189	0.1457	0.0202	0.020195	0.0	15.02285	0.15165	0	0	0	0	0	0	0	0	0	0	0	0	
2005ki	56	34.6563	34.7232	0.1309	0.02024	0.019483	0.0	15.2868	0.12735	0	0	0	0	0	0	0	0	0	0	0	0	
2006ej	205	34.6623	34.7308	0.1362	0.02031	0.020263	0.0	15.30565	0.1353	0	0	0	0	0	0	0	0	0	0	0	0	
2009ds	170	34.7816	34.7384	0.1417	0.02038	0.019280	0.0	15.42955	0.14185	0	0	0	0	0	0	0	0	0	0	0	0	
2006or	101	35.0989	34.7406	0.1496	0.0204	0.020699	0.0	15.7067	0.156	0	0	0	0	0	0	0	0	0	0	0	0	
2007bc	219	34.7201	34.7950	0.1339	0.02091	0.020776	0.0	15.36595	0.1368	0	0	0	0	0	0	0	0	0	0	0	0	
2008ds	159	34.8038	34.8254	0.1446	0.0212	0.021007	0.0	15.4466	0.1437	0	0	0	0	0	0	0	0	0	0	0	0	
2009na	177	34.8538	34.8779	0.1354	0.02171	0.021095	0.0	15.502	0.13615	0	0	0	0	0	0	0	0	0	0	0	0	
2006bq	70	34.8897	34.8961	0.1334	0.02189	0.021909	0.0	15.53085	0.1381	0	0	0	0	0	0	0	0	0	0	0	0	
1995ak	234	34.7306	34.9041	0.1370	0.02197	0.022669	0.0	15.36745	0.1436	0	0	0	0	0	0	0	0	0	0	0	0	
2006mp	94	35.1282	34.9172	0.1345	0.0221	0.022909	0.0	15.7795	0.13695	0	0	0	0	0	0	0	0	0	0	0	0	
2006et	207	34.7681	34.9301	0.1262	0.02223	0.022579	0.0	15.3918	0.13205	0	0	0	0	0	0	0	0	0	0	0	0	
2006cp	75	34.9295	34.9558	0.1332	0.02249	0.022310	0.0	15.56975	0.1391	0	0	0	0	0	0	0	0	0	0	0	0	
2000fa	270	34.8899	34.9812	0.1321	0.02275	0.021282	0.0	15.5348	0.13625	0	0	0	0	0	0	0	0	0	0	0	0	
2000cn	268	35.0255	35.0509	0.1328	0.02348	0.023495	0.0	15.66265	0.13895	0	0	0	0	0	0	0	0	0	0	0	0	
2006ac	63	34.9781	35.0519	0.1298	0.02349	0.023107	0.0	15.6236	0.1338	0	0	0	0	0	0	0	0	0	0	0	0	
2006sr	103	35.0535	35.0846	0.1314	0.02384	0.024140	0.0	15.7013	0.1335	0	0	0	0	0	0	0	0	0	0	0	0	
1998eg	255	35.1748	35.0975	0.1333	0.02398	0.024845	0.0	15.8239	0.13525	0	0	0	0	0	0	0	0	0	0	0	0	
2007F	118	35.1429	35.1003	0.1271	0.02401	0.023617	0.0	15.78645	0.12635	0	0	0	0	0	0	0	0	0	0	0	0	
2009D	166	35.0361	35.1122	0.1296	0.02414	0.024996	0.0	15.68035	0.1291	0	0	0	0	0	0	0	0	0	0	0	0	
2008bf	122	34.9506	35.1485	0.1273	0.02454	0.023459	0.0	15.6001	0.1278	0	0	0	0	0	0	0	0	0	0	0	0	
2002bf	14	35.0352	35.1692	0.1660	0.02477	0.024192	0.0	15.6593	0.1718	0	0	0	0	0	0	0	0	0	0	0	0	
1994M	231	35.0086	35.1736	0.1295	0.02482	0.023156	0.0	15.64995	0.13485	0	0	0	0	0	0	0	0	0	0	0	0	
2002he	27	35.1859	35.2116	0.1329	0.02525	0.024564	0.0	15.82815	0.13295	0	0	0	0	0	0	0	0	0	0	0	0	
2003it	38	35.1453	35.2151	0.1359	0.02529	0.025320	0.0	15.7896	0.1405	0	0	0	0	0	0	0	0	0	0	0	0	
2005M	199	35.2149	35.2308	0.1228	0.02547	0.024645	0.0	15.86575	0.1242	0	0	0	0	0	0	0	0	0	0	0	0	
2006bb	68	35.2205	35.2395	0.1473	0.02557	0.024631	0.0	15.8607	0.1496	0	0	0	0	0	0	0	0	0	0	0	0	
2007cq	117	34.9080	35.2412	0.1265	0.02559	0.026299	0.0	15.5514	0.1259	0	0	0	0	0	0	0	0	0	0	0	0	
2002de	18	35.5328	35.2593	0.1318	0.0258	0.028118	0.0	16.1648	0.1376	0	0	0	0	0	0	0	0	0	0	0	0	
370356	370356	35.3234	35.2993	0.1444	0.02627	0.025694	0.0	15.98385	0.1362	0	0	0	0	0	0	0	0	0	0	0	0	
2005mc	60	35.3230	35.3094	0.1307	0.02639	0.025217	0.0	15.93305	0.1399	0	0	0	0	0	0	0	0	0	0	0	0	
1999X	264	35.2690	35.3127	0.1392	0.02643	0.025045	0.0	15.91835	0.1425	0	0	0	0	0	0	0	0	0	0	0	0	
2005ms	61	35.4219	35.3194	0.1248	0.02651	0.025183	0.0	16.06745	0.1248	0	0	0	0	0	0	0	0	0	0	0	0	
2001gb	8	35.3287	35.3377	0.1538	0.02673	0.025696	0.0	15.97105	0.16165	0	0	0	0	0	0	0	0	0	0	0	0	
2005na	62	35.2308	35.3509	0.1256	0.02689	0.026319	0.0	15.87545	0.126	0	0	0	0	0	0	0	0	0	0	0	0	
2007co	115	35.3589	35.4014	0.1232	0.02751	0.026960	0.0	15.9978	0.1291	0	0	0	0	0	0	0	0	0	0	0	0	
1996C	241	35.5936	35.4022	0.1281	0.02752	0.027019	0.0	16.23595	0.1341	0	0	0	0	0	0	0	0	0	0	0	0	
2007su	145	35.4565	35.4022	0.1336	0.02752	0.027819	0.0	16.0669	0.14255	0	0	0	0	0	0	0	0	0	0	0	0	
2005eq	193	35.5833	35.4111	0.1165	0.02763	0.028486	0.0	16.23455	0.1179	0	0	0	0	0	0	0	0	0	0	0	0	
2006ev	208	35.7064	35.4493	0.1196	0.02811	0.028734	0.0	16.3465	0.12485	0	0	0	0	0	0	0	0	0	0	0	0	
2009ad	168	35.4628	35.4697	0.1228	0.02837	0.028403	0.0	16.1044	0.12155	0	0	0	0	0	0	0	0	0	0	0	0	
2007is	137	35.4000	35.4759	0.1321	0.02845	0.029676	0.0	16.04785	0.1364	0	0	0	0	0	0	0	0	0	0	0	0	
2003U	41	35.3606	35.4767	0.1341	0.02846	0.028340	0.0	16.0051	0.13405	0	0	0	0	0	0	0	0	0	0	0	0	
2008ar	152	35.4646	35.5015	0.1217	0.02878	0.026272	0.0	16.10835	0.12155	0	0	0	0	0	0	0	0	0	0	0	0	
1994Q	232	35.4466	35.5030	0.1308	0.0288	0.029567	0.0	16.09165	0.13605	0	0	0	0	0	0	0	0	0	0	0	0	
2006qo	102	35.4141	35.5138	0.1228	0.02894	0.028520	0.0	16.02685	0.1316	0	0	0	0	0	0	0	0	0	0	0	0	
2007cc	129	35.2325	35.5427	0.1401	0.02932	0.029145	0.0	15.8648	0.1457	0	0	0	0	0	0	0	0	0	0	0	0	
2003ch	32	35.6972	35.5563	0.1264	0.0295	0.028613	0.0	16.3438	0.12735	0	0	0	0	0	0	0	0	0	0	0	0	
2002ck	16	35.5961	35.5862	0.1232	0.0299	0.029862	0.0	16.2413	0.123	0	0	0	0	0	0	0	0	0	0	0	0	
2004ef	184	35.5361	35.5943	0.1149	0.03001	0.030986	0.0	16.1733	0.12025	0	0	0	0	0	0	0	0	0	0	0	0	
2006is	87	35.5804	35.6288	0.1375	0.03048	0.031442	0.0	16.25295	0.1342	0	0	0	0	0	0	0	0	0	0	0	0	
2007ux	146	35.6697	35.6296	0.1315	0.03049	0.029327	0.0	16.28725	0.1419	0	0	0	0	0	0	0	0	0	0	0	0	
PTF10bjs	183	35.2478	35.6339	0.3934	0.03055	0.029997	0.0	15.88935	0.45085	0	0	0	0	0	0	0	0	0	0	0	0	
1999cc	257	35.6725	35.6977	0.1192	0.03144	0.031330	0.0	16.31895	0.12075	0	0	0	0	0	0	0	0	0	0	0	0	
2006bw	72	35.5004	35.7055	0.1314	0.03155	0.030020	0.0	16.1279	0.14115	0	0	0	0	0	0	0	0	0	0	0	0	
2006en	78	35.7282	35.7097	0.1214	0.03161	0.031937	0.0	16.3736	0.12625	0	0	0	0	0	0	0	0	0	0	0	0	
2007bd	112	35.5778	35.7111	0.1193	0.03163	0.030908	0.0	16.21965	0.11945	0	0	0	0	0	0	0	0	0	0	0	0	
2007aj	126	35.7047	35.7258	0.1226	0.03184	0.031022	0.0	16.34225	0.12125	0	0	0	0	0	0	0	0	0	0	0	0	
2005lu	58	35.9696	35.7307	0.1203	0.03191	0.032233	0.0	16.59205	0.12775	0	0	0	0	0	0	0	0	0	0	0	0	
2007ob	142	35.6316	35.7453	0.1332	0.03212	0.033888	0.0	16.23615	0.1431	0	0	0	0	0	0	0	0	0	0	0	0	
10026	11	35.8091	35.7508	0.1311	0.0322	0.031098	0.0	16.472	0.1289	0	0	0	0	0	0	0	0	0	0	0	0	
2008bq	225	35.7390	35.7871	0.1163	0.03273	0.033141	0.0	16.3843	0.1205	0	0	0	0	0	0	0	0	0	0	0	0	
2004as	43	35.9916	35.7919	0.1217	0.0328	0.031058	0.0	16.64085	0.12525	0	0	0	0	0	0	0	0	0	0	0	0	
2006te	105	35.8136	35.8000	0.1199	0.03292	0.031551	0.0	16.452	0.1185	0	0	0	0	0	0	0	0	0	0	0	0	
2008gl	163	35.7460	35.8148	0.1208	0.03314	0.034018	0.0	16.39225	0.12215	0	0	0	0	0	0	0	0	0	0	0	0	
2008bw	154	35.8576	35.8375	0.1592	0.03348	0.033124	0.0	16.4802	0.15235	0	0	0	0	0	0	0	0	0	0	0	0	
2005iq	195	35.9678	35.8448	0.1094	0.03359	0.034041	0.0	16.59355	0.1061	0	0	0	0	0	0	0	0	0	0	0	0	
2004L	45	35.7728	35.8574	0.1302	0.03378	0.032294	0.0	16.38795	0.1403	0	0	0	0	0	0	0	0	0	0	0	0	
2008gp	226	35.7224	35.8712	0.1142	0.03399	0.033416	0.0	16.35135	0.11105	0	0	0	0	0	0	0	0	0	0	0	0	
2008af	121	35.7522	35.8770	0.1219	0.03408	0.033510	0.0	16.39975	0.12455	0	0	0	0	0	0	0	0	0	0	0	0	
2005be	190	35.8954	35.8790	0.1187	0.03411	0.033560	0.0	16.515	0.1148	0	0	0	0	0	0	0	0	0	0	0	0	
2003cq	33	35.9341	35.8823	0.1456	0.03416	0.033288	0.0	16.57565	0.1563	0	0	0	0	0	0	0	0	0	0	0	0	
1996bl	239	35.8208	35.8888	0.1182	0.03426	0.035963	0.0	16.4701	0.12025	0	0	0	0	0	0	0	0	0	0	0	0	
2006gr	82	35.9752	35.8940	0.1183	0.03434	0.034556	0.0	16.61295	0.1249	0	0	0	0	0	0	0	0	0	0	0	0	
1997dg	244	35.9599	35.8966	0.1204	0.03438	0.033960	0.0	16.6071	0.12105	0	0	0	0	0	0	0	0	0	0	0	0	
2003ae	30	35.7393	35.9294	0.1518	0.03489	0.032889	0.0	16.36835	0.1667	0	0	0	0	0	0	0	0	0	0	0	0	
2003iv	39	36.0218	35.9370	0.1269	0.03501	0.034309	0.0	16.6581	0.12485	0	0	0	0	0	0	0	0	0	0	0	0	
2002G	25	35.8349	35.9408	0.1594	0.03507	0.033684	0.0	16.45115	0.16785	0	0	0	0	0	0	0	0	0	0	0	0	
2008at	153	35.8116	35.9478	0.1400	0.03518	0.034889	0.0	16.42245	0.15235	0	0	0	0	0	0	0	0	0	0	0	0	
2007hu	134	35.9785	35.9855	0.1604	0.03578	0.035397	0.0	16.59205	0.1761	0	0	0	0	0	0	0	0	0	0	0	0	
2006mo	93	36.1242	36.0493	0.1222	0.03682	0.036966	0.0	16.77055	0.12655	0	0	0	0	0	0	0	0	0	0	0	0	
2007cb	128	36.1125	36.0602	0.1283	0.037	0.036627	0.0	16.74885	0.12725	0	0	0	0	0	0	0	0	0	0	0	0	
2007O	119	35.9122	36.0680	0.1167	0.03713	0.036215	0.0	16.56045	0.1177	0	0	0	0	0	0	0	0	0	0	0	0	
2000cf	267	36.1727	36.0782	0.1145	0.0373	0.036428	0.0	16.8196	0.11505	0	0	0	0	0	0	0	0	0	0	0	0	
17784	17784	36.1162	36.0860	0.1149	0.03743	0.037050	0.0	16.7708	0.1166	0	0	0	0	0	0	0	0	0	0	0	0	
2002eu	22	35.9441	36.1144	0.1864	0.03791	0.037590	0.0	16.5851	0.2001	0	0	0	0	0	0	0	0	0	0	0	0	
2002bz	15	36.1479	36.1197	0.1356	0.038	0.036955	0.0	16.7664	0.13185	0	0	0	0	0	0	0	0	0	0	0	0	
1999ef	259	36.3488	36.1355	0.1198	0.03827	0.039094	0.0	16.99715	0.1201	0	0	0	0	0	0	0	0	0	0	0	0	
2006je	88	36.2570	36.1414	0.1573	0.03837	0.037994	0.0	16.9021	0.16555	0	0	0	0	0	0	0	0	0	0	0	0	
2008gb	162	36.2122	36.1564	0.1262	0.03863	0.036974	0.0	16.86145	0.1275	0	0	0	0	0	0	0	0	0	0	0	0	
2008051	2008051	36.0870	36.2253	0.1185	0.03984	0.038518	0.0	16.7074	0.1146	0	0	0	0	0	0	0	0	0	0	0	0	
2008fr	161	36.1968	36.2499	0.1168	0.04028	0.040658	0.0	16.8206	0.11335	0	0	0	0	0	0	0	0	0	0	0	0	
2003fa	35	36.1490	36.2714	0.1130	0.04067	0.040388	0.0	16.7928	0.1127	0	0	0	0	0	0	0	0	0	0	0	0	
2001az	2	36.4181	36.2857	0.1204	0.04093	0.040688	0.0	17.0528	0.11665	0	0	0	0	0	0	0	0	0	0	0	0	
2006ak	65	36.0801	36.2857	0.1248	0.04093	0.037894	0.0	16.7302	0.1297	0	0	0	0	0	0	0	0	0	0	0	0	
2005lz	59	36.3555	36.3166	0.1192	0.0415	0.039972	0.0	16.9967	0.1259	0	0	0	0	0	0	0	0	0	0	0	0	
2007kk	139	36.2844	36.3799	0.1176	0.04269	0.041648	0.0	16.93325	0.117	0	0	0	0	0	0	0	0	0	0	0	0	
2007nq	223	36.3375	36.4013	0.1075	0.0431	0.043526	0.0	16.97675	0.10685	0	0	0	0	0	0	0	0	0	0	0	0	
2005hf	53	36.2992	36.4173	0.1226	0.04341	0.043064	0.0	16.93145	0.1209	0	0	0	0	0	0	0	0	0	0	0	0	
10805	10805	36.2692	36.4663	0.1196	0.04437	0.045197	0.0	16.92415	0.11995	0	0	0	0	0	0	0	0	0	0	0	0	
2001ic	11	36.0753	36.4663	0.1818	0.04437	0.044197	0.0	16.72085	0.19805	0	0	0	0	0	0	0	0	0	0	0	0	
2006gt	83	36.5662	36.4910	0.1431	0.04486	0.044719	0.0	17.2055	0.14795	0	0	0	0	0	0	0	0	0	0	0	0	
360156	360156	36.6301	36.5385	0.1245	0.04582	0.045032	0.0	17.29255	0.1243	0	0	0	0	0	0	0	0	0	0	0	0	
2005hc	52	36.6335	36.5458	0.1022	0.04597	0.045894	0.0	17.2822	0.1025	0	0	0	0	0	0	0	0	0	0	0	0	
2008by	155	36.5747	36.5720	0.1233	0.04651	0.045036	0.0	17.18185	0.11625	0	0	0	0	0	0	0	0	0	0	0	0	
2008050	2008050	36.3302	36.6003	0.1432	0.0471	0.046046	0.0	16.9842	0.14465	0	0	0	0	0	0	0	0	0	0	0	0	
2004gu	188	36.5225	36.6017	0.1091	0.04713	0.045910	0.0	17.1679	0.1151	0	0	0	0	0	0	0	0	0	0	0	0	
2008cf	157	36.5460	36.6022	0.1291	0.04714	0.046071	0.0	17.16275	0.12315	0	0	0	0	0	0	0	0	0	0	0	0	
2006eq	206	36.7955	36.6517	0.1147	0.04819	0.049448	0.0	17.4344	0.12175	0	0	0	0	0	0	0	0	0	0	0	0	
2006cq	76	36.6745	36.7115	0.1251	0.04949	0.048405	0.0	17.32405	0.12545	0	0	0	0	0	0	0	0	0	0	0	0	
530086	530086	36.6946	36.7238	0.1316	0.04976	0.051386	0.0	17.35275	0.13525	0	0	0	0	0	0	0	0	0	0	0	0	
2007kh	138	36.6623	36.7503	0.1507	0.05035	0.049970	0.0	17.2903	0.16335	0	0	0	0	0	0	0	0	0	0	0	0	
2006ah	64	36.9306	36.7645	0.1443	0.05067	0.049998	0.0	17.57225	0.158	0	0	0	0	0	0	0	0	0	0	0	0	
1993ac	228	36.7685	36.7756	0.1191	0.05092	0.050262	0.0	17.42035	0.1224	0	0	0	0	0	0	0	0	0	0	0	0	
2010dt	182	36.9456	36.8751	0.1323	0.05322	0.052892	0.0	17.57915	0.12805	0	0	0	0	0	0	0	0	0	0	0	0	
2008ac	150	36.9818	36.8844	0.1392	0.05344	0.052821	0.0	17.62205	0.1398	0	0	0	0	0	0	0	0	0	0	0	0	
2007ar	110	36.8251	36.8908	0.1418	0.05359	0.052936	0.0	17.4687	0.1439	0	0	0	0	0	0	0	0	0	0	0	0	
1998dx	252	36.7034	36.9155	0.1175	0.05418	0.054207	0.0	17.3218	0.11385	0	0	0	0	0	0	0	0	0	0	0	0	
2006lu	212	36.8474	36.9320	0.1070	0.05458	0.054458	0.0	17.4521	0.1018	0	0	0	0	0	0	0	0	0	0	0	0	
490007	490007	36.9398	36.9473	0.1160	0.05495	0.054000	0.0	17.60185	0.1165	0	0	0	0	0	0	0	0	0	0	0	0	
19968	19968	36.9002	36.9791	0.1101	0.05573	0.055889	0.0	17.56165	0.10915	0	0	0	0	0	0	0	0	0	0	0	0	
2003ic	37	36.5899	36.9823	0.1221	0.05581	0.056006	0.0	17.23215	0.12285	0	0	0	0	0	0	0	0	0	0	0	0	
2005hj	54	37.1013	37.0237	0.1216	0.05684	0.056939	0.0	17.73355	0.1203	0	0	0	0	0	0	0	0	0	0	0	0	
6558	6558	36.9907	37.0359	0.1074	0.05715	0.057329	0.0	17.65695	0.1072	0	0	0	0	0	0	0	0	0	0	0	0	
2006py	215	36.9552	37.0383	0.1082	0.05721	0.057827	0.0	17.60445	0.1094	0	0	0	0	0	0	0	0	0	0	0	0	
2006oa	98	37.1385	37.1041	0.1131	0.0589	0.059931	0.0	17.792	0.11395	0	0	0	0	0	0	0	0	0	0	0	0	
2006ob	99	37.1316	37.1061	0.1005	0.05895	0.059182	0.0	17.7707	0.10045	0	0	0	0	0	0	0	0	0	0	0	0	
2001ah	1	37.0787	37.1263	0.1289	0.05948	0.058332	0.0	17.71775	0.12625	0	0	0	0	0	0	0	0	0	0	0	0	
2008bz	156	37.3107	37.1905	0.1237	0.06119	0.060339	0.0	17.9246	0.11905	0	0	0	0	0	0	0	0	0	0	0	0	
70242	197	37.4546	37.3068	0.1154	0.06441	0.064995	0.0	18.09975	0.1085	0	0	0	0	0	0	0	0	0	0	0	0	
2007ae	106	37.1305	37.3117	0.1134	0.06455	0.064297	0.0	17.78945	0.1136	0	0	0	0	0	0	0	0	0	0	0	0	
10028	10028	37.2145	37.3209	0.1104	0.06481	0.065327	0.0	17.87655	0.1109	0	0	0	0	0	0	0	0	0	0	0	0	
80064	198	37.3074	37.3480	0.1178	0.06559	0.065899	0.0	17.91255	0.12675	0	0	0	0	0	0	0	0	0	0	0	0	
6057	6057	37.3345	37.3763	0.1106	0.06641	0.067035	0.0	17.9881	0.1134	0	0	0	0	0	0	0	0	0	0	0	0	
2006cj	73	37.7057	37.4451	0.1323	0.06845	0.067497	0.0	18.31035	0.1248	0	0	0	0	0	0	0	0	0	0	0	0	
2006al	66	37.5543	37.4557	0.1149	0.06877	0.067853	0.0	18.16815	0.11055	0	0	0	0	0	0	0	0	0	0	0	0	
2006on	100	37.5198	37.4593	0.1545	0.06888	0.069998	0.0	18.1778	0.15105	0	0	0	0	0	0	0	0	0	0	0	0	
470043	470043	37.8237	37.5155	0.3187	0.0706	0.070028	0.0	18.48435	0.29975	0	0	0	0	0	0	0	0	0	0	0	0	
2008Y	149	37.4003	37.5165	0.1224	0.07063	0.069699	0.0	18.05925	0.1229	0	0	0	0	0	0	0	0	0	0	0	0	
370566	370566	37.4969	37.5415	0.1178	0.07141	0.070791	0.0	18.15745	0.1192	0	0	0	0	0	0	0	0	0	0	0	0	
17240	17240	37.3768	37.5539	0.1320	0.0718	0.072676	0.0	18.0121	0.1254	0	0	0	0	0	0	0	0	0	0	0	0	
550005	550005	37.6170	37.6132	0.1454	0.07369	0.074003	0.0	18.2355	0.1566	0	0	0	0	0	0	0	0	0	0	0	0	
2003hu	36	37.2843	37.6580	0.1293	0.07515	0.074995	0.0	17.8882	0.1248	0	0	0	0	0	0	0	0	0	0	0	0	
7876	7876	37.6349	37.6604	0.1026	0.07523	0.075943	0.0	18.2988	0.10185	0	0	0	0	0	0	0	0	0	0	0	0	
370333	370333	37.7112	37.6686	0.1185	0.0755	0.074964	0.0	18.378	0.11965	0	0	0	0	0	0	0	0	0	0	0	0	
17186	17186	38.1064	37.7656	0.1096	0.07877	0.079377	0.0	18.7576	0.11205	0	0	0	0	0	0	0	0	0	0	0	0	
12779	12779	37.8862	37.7674	0.1190	0.07883	0.079874	0.0	18.5397	0.12205	0	0	0	0	0	0	0	0	0	0	0	0	
350316	350316	37.6775	37.7942	0.1066	0.07976	0.078992	0.0	18.337	0.10315	0	0	0	0	0	0	0	0	0	0	0	0	
12950	12950	37.8515	37.8471	0.1037	0.08141	0.082633	0.0	18.511	0.10425	0	0	0	0	0	0	0	0	0	0	0	0	
